# x sin(systeme) approximation
0.815394 0.727996 0.727996
0.816651 0.728857 0.728857
0.817907 0.729716 0.729716
0.819164 0.730575 0.730575
0.82042 0.731432 0.731432
0.821676 0.732288 0.732288
0.822933 0.733143 0.733143
0.824189 0.733997 0.733997
0.825445 0.73485 0.73485
0.826702 0.735702 0.735702
0.827958 0.736552 0.736552
0.829215 0.737401 0.737401
0.830471 0.738249 0.738249
0.831727 0.739096 0.739096
0.832984 0.739942 0.739942
0.83424 0.740786 0.740786
0.835497 0.74163 0.74163
0.836753 0.742472 0.742472
0.838009 0.743313 0.743313
0.839266 0.744153 0.744153
0.840522 0.744991 0.744991
0.841778 0.745829 0.745829
0.843035 0.746665 0.746665
0.844291 0.747501 0.747501
0.845548 0.748334 0.748334
0.846804 0.749167 0.749167
0.84806 0.749999 0.749999
0.849317 0.750829 0.750829
0.850573 0.751659 0.751659
0.85183 0.752487 0.752487
0.853086 0.753313 0.753313
0.854342 0.754139 0.754139
0.855599 0.754964 0.754964
0.856855 0.755787 0.755787
0.858111 0.756609 0.756609
0.859368 0.75743 0.75743
0.860624 0.75825 0.75825
0.861881 0.759068 0.759068
0.863137 0.759886 0.759886
0.864393 0.760702 0.760702
0.86565 0.761517 0.761517
0.866906 0.76233 0.76233
0.868163 0.763143 0.763143
0.869419 0.763954 0.763954
0.870675 0.764764 0.764764
0.871932 0.765573 0.765573
0.873188 0.766381 0.766381
0.874445 0.767187 0.767187
0.875701 0.767993 0.767993
0.876957 0.768797 0.768797
0.878214 0.769599 0.769599
0.87947 0.770401 0.770401
0.880726 0.771202 0.771202
0.881983 0.772001 0.772001
0.883239 0.772799 0.772799
0.884496 0.773595 0.773595
0.885752 0.774391 0.774391
0.887008 0.775185 0.775185
0.888265 0.775978 0.775978
0.889521 0.77677 0.77677
0.890778 0.777561 0.777561
0.892034 0.77835 0.77835
0.89329 0.779138 0.779138
0.894547 0.779925 0.779925
0.895803 0.780711 0.780711
0.897059 0.781496 0.781496
0.898316 0.782279 0.782279
0.899572 0.783061 0.783061
0.900829 0.783842 0.783842
0.902085 0.784621 0.784621
0.903341 0.7854 0.7854
0.904598 0.786177 0.786177
0.905854 0.786952 0.786952
0.907111 0.787727 0.787727
0.908367 0.7885 0.7885
0.909623 0.789272 0.789272
0.91088 0.790043 0.790043
0.912136 0.790813 0.790813
0.913392 0.791581 0.791581
0.914649 0.792348 0.792348
0.915905 0.793114 0.793114
0.917162 0.793879 0.793879
0.918418 0.794642 0.794642
0.919674 0.795404 0.795404
0.920931 0.796165 0.796165
0.922187 0.796925 0.796925
0.923444 0.797683 0.797683
0.9247 0.79844 0.79844
0.925956 0.799196 0.799196
0.927213 0.79995 0.79995
0.928469 0.800704 0.800704
0.929725 0.801456 0.801456
0.930982 0.802207 0.802207
0.932238 0.802956 0.802956
0.933495 0.803704 0.803704
0.934751 0.804451 0.804451
0.936007 0.805197 0.805197
0.937264 0.805941 0.805941
0.93852 0.806684 0.806684
0.939777 0.807426 0.807426
0.941033 0.808167 0.808167
0.942289 0.808906 0.808906
0.943546 0.809644 0.809644
0.944802 0.810381 0.810381
0.946058 0.811116 0.811116
0.947315 0.811851 0.811851
0.948571 0.812584 0.812584
0.949828 0.813315 0.813315
0.951084 0.814046 0.814046
0.95234 0.814775 0.814775
0.953597 0.815502 0.815502
0.954853 0.816229 0.816229
0.95611 0.816954 0.816954
0.957366 0.817678 0.817678
0.958622 0.818401 0.818401
0.959879 0.819122 0.819122
0.961135 0.819842 0.819842
0.962392 0.820561 0.820561
0.963648 0.821278 0.821278
0.964904 0.821994 0.821994
0.966161 0.822709 0.822709
0.967417 0.823423 0.823423
0.968673 0.824135 0.824135
0.96993 0.824846 0.824846
0.971186 0.825556 0.825556
0.972443 0.826264 0.826264
0.973699 0.826971 0.826971
0.974955 0.827677 0.827677
0.976212 0.828381 0.828381
0.977468 0.829084 0.829084
0.978725 0.829786 0.829786
0.979981 0.830487 0.830487
0.981237 0.831186 0.831186
0.982494 0.831884 0.831884
0.98375 0.83258 0.83258
0.985006 0.833276 0.833276
0.986263 0.83397 0.83397
0.987519 0.834662 0.834662
0.988776 0.835354 0.835354
0.990032 0.836044 0.836044
0.991288 0.836732 0.836732
0.992545 0.83742 0.83742
0.993801 0.838106 0.838106
0.995058 0.83879 0.83879
0.996314 0.839474 0.839474
0.99757 0.840156 0.840156
0.998827 0.840836 0.840836
1.00008 0.841516 0.841516
1.00134 0.842194 0.842194
1.0026 0.842871 0.842871
1.00385 0.843546 0.843546
1.00511 0.84422 0.84422
1.00637 0.844893 0.844893
1.00762 0.845564 0.845564
1.00888 0.846234 0.846234
1.01013 0.846903 0.846903
1.01139 0.847571 0.847571
1.01265 0.848237 0.848237
1.0139 0.848901 0.848901
1.01516 0.849565 0.849565
1.01642 0.850227 0.850227
